15,28,41,54,67,80,93,104,115,124,133,140,147,148,149
17,32,47,62,77,92,107,120,133,146,159,170,181,188,195
19,36,53,70,87,104,121,138,155,170,185,198,211,222,233
21,40,59,78,97,116,135,154,173,190,207,224,241,256,271
23,44,65,86,107,128,149,170,191,210,229,248,267,284,301
25,48,71,94,117,140,163,186,209,230,251,272,293,312,331
27,52,77,102,127,152,177,202,227,252,277,300,323,344,365
29,56,83,110,137,164,191,218,245,272,299,324,349,374,399
31,60,89,118,147,176,205,234,263,292,321,348,375,402,429
33,64,95,126,157,188,219,250,281,312,343,372,401,430,459
35,68,101,134,167,200,233,266,299,332,365,396,427,458,489
37,72,107,142,177,212,247,282,317,352,387,420,453,486,519
39,76,113,150,187,224,261,298,335,372,409,446,483,518,553
41,80,119,158,197,236,275,314,353,392,431,470,509,546,583
43,84,125,166,207,248,289,330,371,412,453,494,535,574,613
45,88,131,174,217,260,303,346,389,432,475,518,561,602,643
47,92,137,182,227,272,317,362,407,452,497,542,587,630,673
49,96,143,190,237,284,331,378,425,472,519,566,613,658,703
51,100,149,198,247,296,345,394,443,492,541,590,639,688,737
53,104,155,206,257,308,359,410,461,512,563,614,665,716,767
55,108,161,214,267,320,373,426,479,532,585,638,691,744,797
57,112,167,222,277,332,387,442,497,552,607,662,717,772,827
59,116,173,230,287,344,401,458,515,572,629,686,743,800,857
61,120,179,238,297,356,415,474,533,592,651,710,769,828,887
63,124,185,246,307,368,429,490,551,612,673,734,795,856,917
65,128,191,254,317,380,443,506,569,632,695,758,821,884,947
67,132,197,262,327,392,457,522,587,652,717,782,847,912,977
69,136,203,270,337,404,471,538,605,672,739,806,873,940,1007
71,140,209,278,347,416,485,554,623,692,761,830,899,968,1037
73,144,215,286,357,428,499,570,641,712,783,854,925,996,1067
75,148,221,294,367,440,513,586,659,732,805,878,951,1024,1097
77,152,227,302,377,452,527,602,677,752,827,902,977,1052,1127
79,156,233,310,387,464,541,618,695,772,849,926,1003,1080,1157
81,160,239,318,397,476,555,634,713,792,871,950,1029,1108,1187
83,164,245,326,407,488,569,650,731,812,893,974,1055,1136,1217
85,168,251,334,417,500,583,666,749,832,915,998,1081,1164,1247
87,172,257,342,427,512,597,682,767,852,937,1022,1107,1192,1277
89,176,263,350,437,524,611,698,785,872,959,1046,1133,1220,1307
91,180,269,358,447,536,625,714,803,892,981,1070,1159,1248,1337
93,184,275,366,457,548,639,730,821,912,1003,1094,1185,1276,1367
95,188,281,374,467,560,653,746,839,932,1025,1118,1211,1304,1397
97,192,287,382,477,572,667,762,857,952,1047,1142,1237,1332,1427
99,196,293,390,487,584,681,778,875,972,1069,1166,1263,1360,1457
